189,Montrezl Harrell\harremo01,C,27,LAL,41,1,24.4,5.9,9.3,.633,0.0,0.2,.000,5.9,9.1,.648,.633,2.6,3.4,.745,2.4,4.0,6.4,1.1,0.7,0.8,1.1,2.1,14.3
190,Gary Harris\harriga01,SG,26,DEN,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
191,Jalen Harris\harrija01,SG,22,TOR,4,0,3.5,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.0,0.0,,0.3,0.5,0.8,0.5,0.3,0.0,0.3,0.5,0.8
192,Joe Harris\harrijo01,SF,29,BRK,42,38,31.2,5.4,10.3,.521,3.4,6.9,.488,2.0,3.4,.587,.684,0.6,0.8,.714,0.5,3.0,3.6,1.7,0.6,0.2,0.9,2.2,14.7
193,Tobias Harris\harrito02,PF,28,PHI,36,36,34.0,7.9,15.5,.511,1.6,3.9,.408,6.3,11.6,.546,.563,3.0,3.4,.893,1.2,6.3,7.5,3.4,0.9,0.9,1.8,2.0,20.5
194,Shaquille Harrison\harrish01,SG,27,UTA,17,0,3.3,0.4,1.2,.300,0.0,0.1,.000,0.4,1.1,.333,.300,0.3,0.4,.833,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.2,1.0
195,Josh Hart\hartjo01,SF,25,NOP,41,3,28.3,3.3,7.2,.456,1.3,4.0,.333,1.9,3.1,.612,.549,1.4,1.8,.747,1.0,6.4,7.4,2.1,0.8,0.2,0.9,2.4,9.2
196,Isaiah Hartenstein\harteis01,C,22,DEN,29,0,9.0,1.4,2.7,.513,0.0,0.0,,1.4,2.7,.513,.513,0.7,1.2,.588,1.3,1.5,2.8,0.5,0.4,0.6,0.7,1.9,3.4
197,Jaxson Hayes\hayesja02,C,20,NOP,30,1,13.3,2.2,2.9,.739,0.0,0.0,,2.2,2.9,.739,.739,1.0,1.4,.707,1.2,2.3,3.5,0.4,0.3,0.5,0.6,1.8,5.3
198,Killian Hayes\hayeski01,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
